name,url,category,notes
NUS High School of Mathematics and Science,https://www.nushigh.edu.sg/,secondary,GEP; IP; SPECIALISED SCHOOL; IP/through-train
Nan Chiau High School,https://www.nanchiauhigh.moe.edu.sg/,secondary,SAP; GOVERNMENT-AIDED SCH
Nan Hua High School,https://www.nanhuahigh.moe.edu.sg/,secondary,SAP; Autonomous; GOVERNMENT SCHOOL
Nanyang Girls' High School,https://www.nygh.edu.sg/,secondary,SAP; GEP; IP; INDEPENDENT SCHOOL
National Junior College,https://www.nationaljc.moe.edu.sg/,secondary,IP; GOVERNMENT SCHOOL; IP/through-train
Naval Base Secondary School,https://www.navalbasesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
New Town Secondary School,https://www.newtownsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Ngee Ann Secondary School,https://www.ngeeannsec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT-AIDED SCH
North Vista Secondary School,https://www.northvistasec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Northbrooks Secondary School,https://www.northbrookssec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Northland Secondary School,https://www.northlandsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Northlight School,https://www.nls.edu.sg/,secondary,SPECIALISED INDEPENDENT SCHOOL
Orchid Park Secondary School,https://www.orchidparksec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
